GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Application,configurations,InitialiseurApplication,24,0,0,0,5,0,4,0,4,0
Application,configurations,ConfigurationApplication,7,0,0,0,2,0,2,0,2,0
Application,controllers,VetementController,47,0,0,0,13,0,3,0,3,0
